Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Assam State Transport Corporation (ASTC) - 174759,NON A/C Seater Push Back (2+1),10:00,13:15,03h 15m,INR 200,9 Seats available,"4.3
2",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
BARBIE TRAVELS,NON A/C Hi-Tech Push Back (2+2),06:00,10:20,04h 20m,INR 240,40 Seats available,"5.0
1",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
BARBIE TRAVELS,NON A/C Hi-Tech Push Back (2+2),07:55,12:30,04h 35m,INR 240,40 Seats available,3.2,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
Maa Jagadamba,NON A/C Seater (2+3),09:20,14:00,04h 40m,INR 240,39 Seats available,3.4,https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
Maa Jagadamba,A/C Seater Push Back (2+2),09:40,14:25,04h 45m,INR 260,41 Seats available,"3.4
12",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
BARBIE TRAVELS,A/C Seater Push Back (2+2),10:20,13:40,03h 20m,INR 280,40 Seats available,"2.8
5",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
Air Bus Travels,NON AC Seater / Sleeper 2+1,21:00,03:00,06h 00m,INR 400,33 Seats available,"3.5
6",https://www.redbus.in/bus-tickets/north-lakhimpur-to-dibrugarh,North Lakhimpur to Dibrugarh
Chartered Bus - ASTC,A/C Seater Push Back (2+2),06:45,11:00,04h 15m,INR 755.58,5 Seats available,"4.8
49",https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Tinsukia to Jorhat
Christina Travels,NON A/C Seater (2+2),07:00,11:15,04h 15m,650,22 Seats available,"5.0
1",https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Tinsukia to Jorhat
NETWORK TRAVELS,Non A/C Seater / Sleeper (2+1),17:00,23:00,06h 00m,350,49 Seats available,"3.8
8",https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Tinsukia to Jorhat
Purple Wings Coaches,A/C Seater / Sleeper (2+1),18:30,00:15,05h 45m,567,33 Seats available,"3.8
10",https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Tinsukia to Jorhat
NETWORK TRAVELS,NON A/C Seater Push Back (2+1),19:00,00:30,05h 30m,500,35 Seats available,"4.7
23",https://www.redbus.in/bus-tickets/tinsukia-to-jorhat,Tinsukia to Jorhat
Assam State Transport Corporation (ASTC) - 155999,Bharat Benz A/C Seater (2+2),10:50,15:00,04h 10m,INR 334,2 Seats available,"4.5
24",https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
Mayur Travels (Under ASTC),Non AC Seater (2+2),05:45,11:30,05h 45m,INR 350,42 Seats available,"3.7
2",https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
Sparrow Travels (Under ASTC),Non AC Seater (2+2),06:30,12:00,05h 30m,INR 350,39 Seats available,"4.7
5",https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
Ruma Travels (Under ASTC),Non AC Seater (2+2),09:00,14:40,05h 40m,INR 350,41 Seats available,"1.0
2",https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
Mahadev K.P.,Tata A/C Seater (2+2),11:00,18:15,07h 15m,INR 460,41 Seats available,"1.0
1",https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
Mahadev K.P.,Tata A/C Seater (2+2),11:30,18:30,07h 00m,INR 460,41 Seats available,1.0,https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
Narayan Travels,AC Seater (2+2),14:20,20:30,06h 10m,399,40 Seats available,New,https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
DESTINY TRAVELS,NON A/C Seater (2+1),23:45,03:45,04h 00m,446,31 Seats available,"1.6
3",https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
Chartered Bus - ASTC,A/C Seater Push Back (2+2),11:00,15:00,04h 00m,INR 712.47,2 Seats available,"4.1
26",https://www.redbus.in/bus-tickets/tezpur-to-north-lakhimpur,Tezpur to North Lakhimpur
Assam State Transport Corporation (ASTC) - 173044,Non AC Seater (2+2),13:00,15:30,02h 30m,INR 170,16 Seats available,"4.5
13",https://www.redbus.in/bus-tickets/north-lakhimpur-to-moran,North Lakhimpur to Moran
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:45,05:00,07h 15m,INR 570,24 Seats available,"4.2
59",https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
Yatra Travels,NON AC Seater/ Sleeper (2+1),20:00,02:30,06h 30m,INR 550,17 Seats available,"4.5
39",https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
Pranjit Travels (Under ASTC),Bharat Benz A/C Seater (2+1),21:30,05:15,07h 45m,INR 660,13 Seats available,"3.9
55",https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
Yatra Travels,NON A/C Seater (2+1),18:00,02:45,08h 45m,INR 550,15 Seats available,"4.4
25",https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
KIRAN TRAVELS,A/C Seater (2+1),20:40,05:00,08h 20m,INR 600,12 Seats available,"3.8
41",https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
NORTH EAST TRAVELS(UNDER ASTC),NON A/C Seater (2+1),20:15,04:00,07h 45m,450,22 Seats available,"3.6
32",https://www.redbus.in/bus-tickets/guwahati-to-gohpur,Guwahati to Gohpur
